filename,genre,title,artist
blues.00096.wav,blues,Long Distance,Hot Toddy
blues.00097.wav,blues,T-Bone Shuffle,Hot Toddy
classical.00046.wav,classical,"Violin Concerto No. 1, Op. 35",Kaja Danczowska
classical.00080.wav,classical,"Symphony No.6 in B minor Op.74, Pathetique: I Adagio - Allegro non troppo","Daniel Barenboim, Chicago Symphony Orchestra"
classical.00093.wav,classical,"Sonata No. 1 In C Major, RV 73: IV. Allegro","Kelsey Jones, Melvin Berman, and Walter Joachim"
country.00000.wav,country,Just to Hear You Say That You Love Me(with Tim McGraw),Faith Hill
country.00001.wav,country,That's The Kind Of Mood I'm In,Patty Loveless
country.00002.wav,country,I Wish I Had A Nickel,Big Tom
country.00003.wav,country,If Tomorrow Never Comes,Kent Blazy
country.00004.wav,country,Outbound Plane,Suzy Bogguss
country.00005.wav,country,You Win My Love,Shania Twain
country.00006.wav,country,Straight Tequila Night,John Anderson
country.00007.wav,country,Best of Intentions,Travis Tritt
country.00008.wav,country,Never Knew Lonely,Vince Gill
country.00009.wav,country,Meanwhile Back At The Ranch,The Clark Family Experience
country.00027.wav,country,Chicken on the Ground,Billy Joe Shaver
country.00030.wav,country,Wish You  Were Here,Pink Floyd
country.00031.wav,country,Come On Joe,George Strait
country.00032.wav,country,Last Cheater's Waltz,T. G. Sheppard
country.00033.wav,country,Teach Me To Cheat,The Kendalls
country.00034.wav,country,Sally Let Your Bangs Hang Down,Rose Maddox
country.00036.wav,country,Old Violin,Johnny Paycheck
country.00037.wav,country,Don't Give Candy To A Stranger,Larry Boone
country.00038.wav,country,Our Last Night,Donna Fargo
country.00042.wav,country,I Love You Baby,Frank Sinatra
country.00044.wav,country,It Ain't Fair,Wesley Dennis
disco.00004.wav,disco,Run Back,Carl Douglas
disco.00006.wav,disco,Romeo and Juliet (Acts I & II),Alec R. Costandinos and The Syncophonic Orchestra
disco.00010.wav,disco,Encore (Single Version),Cheryl Lynn
disco.00012.wav,disco,"She's A Bad Mama Jama (She's Built, She's Stacked)",Carl Carlton
disco.00030.wav,disco,Latin America,Gibson Brothers
disco.00069.wav,disco,"(Shake, Shake, Shake) Shake Your Booty",KC and The Sunshine Band
disco.00071.wav,disco,Get Down Tonight,KC and The Sunshine Band
disco.00080.wav,disco,Dazzle You,Dazzle
disco.00081.wav,disco,I'm for You,"Today, Tomorrow, Forever"
disco.00084.wav,disco,Out in the Night,Serge Ponsar
disco.00085.wav,disco,Rapping Wordyhood,Mike Woods
hiphop.00000.wav,hiphop,Looking for the Perfect Beat (Original 12' Version),Afrika Bambaataa and Soulsonic Force
hiphop.00026.wav,hiphop,I Can't Take It (No More) (Remix featuring NAS),3LW
hiphop.00030.wav,hiphop,Bluesy Baby (feat. Speech) [Ed Rush & Optical Remix],ram jam world
hiphop.00031.wav,hiphop,Most Girls,P!nk
hiphop.00032.wav,hiphop,Buddy (Native Tongue Decision,De La Soul
hiphop.00033.wav,hiphop,The Next Episode,Dr. Dre
hiphop.00035.wav,hiphop,40 Barz,Allen Iverson presents Ty Gracie
jazz.00050.wav,jazz,Neo Manhattan,Maniac 2121
jazz.00066.wav,jazz,Slow Riding,321Jazz
metal.00009.wav,metal,Angel's Retreat,Tvangeste
metal.00011.wav,metal,Mind Matters,Dark Tranquility
metal.00020.wav,metal,Necrophobic,Slayer
metal.00039.wav,metal,The Imperial March,John Williams and London Symphony Orchestra
metal.00074.wav,metal,Enter Sandman,Metallica
metal.00085.wav,metal,Stayin' Alive,Dweezil Zappa
pop.00006.wav,pop,Thank U,Alanis Morissette
pop.00014.wav,pop,Every Breath You Take,The Police
pop.00017.wav,pop,(I Can't Get No) Satisfaction,Britney Spears
pop.00048.wav,pop,Lady Marmalade,"Christina Aguilera, Lil Kim, Mya, P!nk"
pop.00072.wav,pop,Miss You Much,Janet Jackson
reggae.00045.wav,reggae,Take You Back,The Heptones
reggae.00051.wav,reggae,Psychic Bounty Killaz,Armand Van Helden and DJ Sneak
reggae.00065.wav,reggae,Rub a Dub All The Time (aka If This World Were Mine),Dennis Brown
reggae.00086.wav,reggae,Splash Out Dub,King Tubby
reggae.00094.wav,reggae,Ten Commandments,Prince Buster
